,userID,timestamp
753,5531878936,2019-04-16 03:59:00
472,phoenixnewmedia,2019-04-16 04:24:00
294,2188961810,2019-04-16 04:25:00
295,ZhangYinFa76GOD3300,2019-04-16 04:25:00
291,321461611,2019-04-16 04:26:00
290,5628088752,2019-04-16 04:26:00
293,3228040132,2019-04-16 04:26:00
292,2365506323,2019-04-16 04:26:00
287,6612294028,2019-04-16 04:27:00
288,5459480707,2019-04-16 04:27:00
289,maoxiaoqicoco,2019-04-16 04:27:00
286,jennykimt,2019-04-16 04:27:00
285,3356390502,2019-04-16 04:28:00
283,3197226365,2019-04-16 04:29:00
284,3467871252,2019-04-16 04:29:00
282,6188035485,2019-04-16 04:30:00
280,5899649229,2019-04-16 04:31:00
281,3798067124,2019-04-16 04:31:00
279,3301478931,2019-04-16 04:32:00
277,1157815052,2019-04-16 04:33:00
278,cofelink,2019-04-16 04:33:00
276,2412329707,2019-04-16 04:34:00
275,5639723558,2019-04-16 04:34:00
274,sophiem88,2019-04-16 04:35:00
273,5876706417,2019-04-16 04:36:00
272,5998949747,2019-04-16 04:36:00
271,5204992909,2019-04-16 04:37:00
268,falseid,2019-04-16 04:38:00
270,5354606984,2019-04-16 04:38:00
269,2599648033,2019-04-16 04:38:00
267,xiaoguaritsuka,2019-04-16 04:40:00
265,1734898782,2019-04-16 04:40:00
266,3176834664,2019-04-16 04:40:00
264,1743854467,2019-04-16 04:41:00
262,736988789,2019-04-16 04:41:00
263,1789005432,2019-04-16 04:41:00
261,2237377123,2019-04-16 04:42:00
260,5371533569,2019-04-16 04:47:00
259,5891202009,2019-04-16 04:48:00
258,5792369467,2019-04-16 04:49:00
256,3769001874,2019-04-16 04:50:00
255,teaorcoffee7,2019-04-16 04:50:00
257,6448621146,2019-04-16 04:50:00
254,kristylucia,2019-04-16 04:51:00
253,whchengmeng,2019-04-16 04:52:00
252,fenggu518,2019-04-16 04:56:00
250,1295245771,2019-04-16 04:58:00
251,3542448451,2019-04-16 04:58:00
248,1547564764,2019-04-16 04:58:00
249,sonne11,2019-04-16 04:58:00
244,6722229581,2019-04-16 04:59:00
247,walkawaye,2019-04-16 04:59:00
245,1636709195,2019-04-16 04:59:00
246,2283689597,2019-04-16 04:59:00
242,2290429265,2019-04-16 05:01:00
241,6232256969,2019-04-16 05:01:00
243,5102491798,2019-04-16 05:01:00
239,2411048250,2019-04-16 05:02:00
240,209992157,2019-04-16 05:02:00
238,3049869855,2019-04-16 05:02:00
237,1933244815,2019-04-16 05:03:00
236,3463627860,2019-04-16 05:04:00
235,1609631915,2019-04-16 05:04:00
234,6221206951,2019-04-16 05:05:00
232,2512271195,2019-04-16 05:06:00
233,ppx108,2019-04-16 05:06:00
231,2158676877,2019-04-16 05:07:00
229,3634970323,2019-04-16 05:08:00
230,1401883352,2019-04-16 05:08:00
228,6596477173,2019-04-16 05:10:00
227,315780999,2019-04-16 05:14:00
225,2625353465,2019-04-16 05:15:00
226,7019537019,2019-04-16 05:15:00
224,1361188933,2019-04-16 05:16:00
223,1678861091,2019-04-16 05:16:00
222,jccyao,2019-04-16 05:17:00
221,1750312735,2019-04-16 05:21:00
220,2109998397,2019-04-16 05:22:00
219,2710708541,2019-04-16 05:24:00
218,2632400821,2019-04-16 05:25:00
217,2332622630,2019-04-16 05:27:00
216,zws1616,2019-04-16 05:28:00
215,1413218311,2019-04-16 05:29:00
214,6619313356,2019-04-16 05:32:00
213,1760996221,2019-04-16 05:36:00
211,5472742259,2019-04-16 05:38:00
212,soresky,2019-04-16 05:38:00
210,5098660840,2019-04-16 05:38:00
208,2774046451,2019-04-16 05:39:00
209,1960491714,2019-04-16 05:39:00
206,1853821565,2019-04-16 05:41:00
207,mayang1990,2019-04-16 05:41:00
283,chinanewsv,2019-04-16 05:42:00
205,3293064243,2019-04-16 05:43:00
320,6348245755,2019-04-16 05:43:00
321,3721740757,2019-04-16 05:43:00
204,1855030442,2019-04-16 05:44:00
319,6452826956,2019-04-16 05:44:00
318,3668560585,2019-04-16 05:44:00
203,1724870083,2019-04-16 05:44:00
202,2011976813,2019-04-16 05:45:00
317,6190549094,2019-04-16 05:45:00
316,5822521880,2019-04-16 05:46:00
315,baojinyu19940531,2019-04-16 05:46:00
314,6383894552,2019-04-16 05:47:00
313,3216946065,2019-04-16 05:49:00
311,2395348297,2019-04-16 05:49:00
312,3192088632,2019-04-16 05:49:00
201,1096113780,2019-04-16 05:49:00
200,sdnewspic,2019-04-16 05:49:00
310,5332710743,2019-04-16 05:49:00
309,5649224527,2019-04-16 05:50:00
199,1823694305,2019-04-16 05:51:00
308,MaXu1996,2019-04-16 05:51:00
307,2768175802,2019-04-16 05:51:00
197,1672353091,2019-04-16 05:51:00
198,2482218104,2019-04-16 05:51:00
196,1153755223,2019-04-16 05:51:00
195,3954316784,2019-04-16 05:52:00
304,3958325575,2019-04-16 05:53:00
194,2241468505,2019-04-16 05:53:00
301,6478696766,2019-04-16 05:53:00
302,6658472800,2019-04-16 05:53:00
303,5848819706,2019-04-16 05:53:00
